ああ,嗚呼,心動かされたときに発する言葉,
あい,愛,いとおしいと思う気持ち,
あお,青,空や海のようなクールな色,
あか,赤,血のような情熱的な色,
あき,秋,四季のひとつ、食欲、勉強、スポーツの季節 ,
あく,悪,不道徳で人の道に反すること,
あさ,朝,夜が明けて間もない時間帯のこと,
あし,葦,河川敷など水辺に繁殖する植物,
あせ,汗,動物が体温調整のため分泌する液体,
あな,穴,平面にあるくぼみ、また反対側に突き抜けている空間のこと,
あに,兄,兄弟のうち年上の男子,
あね,姉,姉妹のうち年上の女子,
あま,尼,仏門に入った女性,
あみ,網,魚などを捕獲するための道具,
あめ,飴,ドロップやキャンディーのこと,
あゆ,鮎,清流に住む魚,
あり,蟻,身近に生息する小さな昆虫,
あーす,アース,感電防止のため電気を大地に逃がすこと,
あいこ,,勝ち負けのない状態,
あいず,合図,事前に打ち合わせした物事を伝える仕草,
あいそ,愛想,人当たりがよいこと,
あうと,アウト,野球で打者や走者などが攻撃の資格を失うこと,
あえん,亜鉛,原子番号30の元素,
あおな,青菜,濃い緑色の葉野菜,
あかじ,赤字,収支がマイナスであること,
あかね,茜,黄緑色の地味な花が咲きます,
あかみ,赤身,肉や魚で赤い身のこと,
あきす,空き巣,泥棒のこと,
あくび,欠伸,眠気から大きく息を吸い込むこと,
あけび,木通,紫色のパックリと口があいたような果実,
あさひ,朝日,朝に登ってくる太陽のこと,
あざみ,薊,トゲがいっぱいの植物,
あさり,浅利,二枚貝のひとつ,
あずき,小豆,あずき色のお豆さん,
あせび,馬酔木,白い釣鐘のような姿の花,
あせる,焦る,ヤキモキと気分がせくこと,
あなご,穴子,アナゴ科のお魚,
あやめ,菖蒲,網目模様がある紫色の花,
あられ,アラレ,小さくカットした餅を焼いたもの,
あろえ,アロエ,肉厚の葉を持つ植物、火傷にどうぞ,
あわび,鮑,巻貝のひとつ、コリコリ,
あんこ,餡子,小豆を煮て砂糖と練ったもの,
あいかぎ,合鍵,複製した鍵、スペアキーのこと,
あいけん,愛犬,可愛がっている犬のこと,
あいさつ,挨拶,人と人が会った時に交わす言葉や動作,
あいづち,相槌,話に同意して頷くこと,
あいどる,アイドル,人々が熱狂する憧れのタレント,
あいびー,アイビー,洋館などの壁を覆う植物,
あいべや,相部屋,旅先などで他人と一つの部屋で泊まること,
あいろん,アイロン,衣類のシワを伸ばす道具,
あおじる,青汁,健康に良いとされるドリンク,
あおぞら,青空,天気が良く青々とした空のこと,
あおのり,青海苔,海藻を乾燥し細かく刻んだもの,
あおむし,青虫,蝶などの幼虫のこと,
あかかぶ,赤カブ,赤い色をしたカブのこと,
あかしあ,アカシア,フワフワとした黄色い花,
あかふく,赤福,伊勢名物の菓子,
あきれる,呆れる,あっけに取られること,
あくしゅ,握手,信頼する証として手を握り合うこと,
あくせす,アクセス,目的地へ向かうための交通手段,
あげもの,揚げ物,油で揚げた食べ物、トンカツ、唐揚げなど,
あこがれ,憧れ,強く心が惹かれる人物,
あさがお,朝顔,夏の午前中にだけ咲く花,
あざれあ,アザレア,ツツジに似た鮮やかな花,
あしあと,足跡,人や動物が歩いた跡のこと,
あじさい,紫陽花,梅雨時期に咲く花,
あしたば,明日葉,せり科の植物,
あせろら,アセロラ,ビタミンCたっぷりの果実,
あつあげ,厚揚げ,厚く切った豆腐を揚げたもの,
あっぱれ,天晴,見事なこと,
あなろぐ,アナログ,デジタルの反対,
あねもね,アネモネ,ヨーロッパに春を告げる花,
あぶらえ,油絵,油絵の具で描かれた絵,
あべっく,アベック,好き同士の男女二人連れのこと,
あまあし,雨脚,雨の勢いのこと,
あまえび,甘エビ,ホッコクアカエビのこと,
あまがさ,雨傘,雨降りにつかう道具,
あまぐつ,雨靴,雨降りに履く靴,
あまぐり,甘栗,小石と一緒に熱した栗,
あめりか,アメリカ,北米に位置する国、アメリカ合衆国,
